date,price
2023-01-01,18611818.181818184
2023-01-02,30248000.0
2023-01-03,28488947.36842105
2023-01-04,17573592.307692308
2023-01-05,23927272.727272727
2023-01-06,21774902.09090909
2023-01-07,23541666.666666668
2023-01-08,28420909.09090909
2023-01-09,33866777.777777776
2023-01-10,20765555.555555556
2023-01-11,32792872.2
2023-01-12,22820000.0
2023-01-13,21403750.0
2023-01-14,17004000.0
2023-01-15,21033750.0
2023-01-16,25054615.384615384
2023-01-17,24786124.57142857
2023-01-18,44188938.11111111
2023-01-19,39622142.85714286
2023-01-20,20700000.0
2023-01-21,20660000.0
2023-01-22,27209319.64524139
2023-01-23,27209319.64524139
2023-01-24,27209319.64524139
2023-01-25,30300000.0
2023-01-26,34600000.0
2023-01-27,15000000.0
2023-01-28,20675000.0
2023-01-29,63980000.0
2023-01-30,18096981.842105262
2023-01-31,41923333.333333336
2023-02-01,28964285.714285713
2023-02-02,20668557.14285714
2023-02-03,34052410.81818182
2023-02-04,19614444.444444444
2023-02-05,13932857.142857144
2023-02-06,29927142.85714286
2023-02-07,21212857.14285714
2023-02-08,46632500.0
2023-02-09,14683333.333333334
2023-02-10,20553684.210526317
2023-02-11,16591111.111111112
2023-02-12,19085214.285714287
2023-02-13,27502857.14285714
2023-02-14,18637500.0
2023-02-15,21904615.384615384
2023-02-16,23368888.888888888
2023-02-17,49847095.23809524
2023-02-18,25367333.333333332
2023-02-19,18280666.666666668
2023-02-20,19189306.739130434
2023-02-21,48101428.571428575
2023-02-22,14818750.0
2023-02-23,24389251.833333332
2023-02-24,38682882.35294118
2023-02-25,16051259.2
2023-02-26,19303333.333333332
2023-02-27,20112500.0
2023-02-28,18315000.0
2023-03-01,21235294.11764706
2023-03-02,28091333.333333332
2023-03-03,41695000.0
2023-03-04,21367142.85714286
2023-03-05,20787692.307692308
2023-03-06,33041111.111111112
2023-03-07,28334613.636363637
2023-03-08,19833125.0
2023-03-09,24650666.666666668
2023-03-10,171297570.63636363
2023-03-11,17203813.333333332
2023-03-12,21920000.0
2023-03-13,23963750.0
2023-03-14,19007750.0
2023-03-15,24623599.222222224
2023-03-16,30571428.57142857
2023-03-17,22392208.07142857
2023-03-18,32041250.0
2023-03-19,19125833.333333332
2023-03-20,26552631.57894737
2023-03-21,22408571.42857143
2023-03-22,25479090.90909091
2023-03-23,46132000.0
2023-03-24,29580000.0
2023-03-25,23545000.0
2023-03-26,25781428.57142857
2023-03-27,42547045.45454545
2023-03-28,25443333.333333332
2023-03-29,39575000.0
2023-03-30,40452235.294117644
2023-03-31,26752592.592592593
2023-04-01,29533333.333333332
2023-04-02,27594000.0
2023-04-03,24660000.0
2023-04-04,26337777.777777776
2023-04-05,16675555.555555556
2023-04-06,42006470.5882353
2023-04-07,27657812.5
2023-04-08,21980000.0
2023-04-09,29700000.0
2023-04-10,25340961.53846154
2023-04-11,16815833.333333332
2023-04-12,32767333.333333332
2023-04-13,26510000.0
2023-04-14,12096500.0
2023-04-15,22000000.0
2023-04-16,25811578.94736842
2023-04-17,27852142.85714286
2023-04-18,30794615.384615384
2023-04-19,19271818.181818184
2023-04-20,29273928.23529412
2023-04-21,22181765.095238097
2023-04-22,26442777.777777776
2023-04-23,21402173.913043477
2023-04-24,21322307.692307692
2023-04-25,19537583.333333332
2023-04-26,36592328.571428575
2023-04-27,19886153.846153848
2023-04-28,31368181.818181816
2023-04-29,18598000.0
2023-04-30,27451428.57142857
2023-05-01,23282187.5
2023-05-02,18907883.333333332
